dishid,dishname,dishdescription,dishprice,dishavailable,dishimgpath
1,Hokkien Mee,Stir-fried prawn and squid noodles with a rich seafood flavor. This flavorful dish is savory and flavorful.,18.00,1,https://picsum.photos/200/200?random=1
2,Chilli Crab,"Crab cooked in a sweet and spicy tomato-based sauce, best enjoyed with mantou buns. This savory dish is delicious and tasty.",9.40,0,https://picsum.photos/200/200?random=2
3,Laksa,"A spicy noodle soup with a rich and creamy coconut broth, often made with seafood or chicken. This savory dish is delicious and flavorful.",10.90,0,https://picsum.photos/200/200?random=3
4,Char Kway Teow,"Stir-fried flat rice noodles with prawns, eggs, and a sweet and savory sauce. This tasty dish is delicious and flavorful.",12.50,0,https://picsum.photos/200/200?random=4
5,Satay,"Skewered and grilled meat, typically served with a peanut sauce and rice cakes. This flavorful dish is tasty and tasty.",10.50,1,https://picsum.photos/200/200?random=5
6,Hainanese Beef Noodles,A noodle soup with tender beef slices and a savory broth. This delicious dish is mouthwatering and tasty.,10.00,0,https://picsum.photos/200/200?random=6
7,Hainanese Chicken Rice,A fragrant and tender chicken dish served with flavorful rice and delicious chili sauce. This tasty dish is delicious and delicious.,13.50,1,https://picsum.photos/200/200?random=7
8,Bak Kut Teh,A flavorful pork rib soup made with a variety of herbs and spices. This tasty dish is flavorful and tasty.,7.00,0,https://picsum.photos/200/200?random=8
9,Nasi Lemak,"A fragrant rice dish cooked in coconut milk, served with sambal, anchovies, and peanuts. This savory dish is flavorful and mouthwatering.",9.60,0,https://picsum.photos/200/200?random=9
10,Rojak,"A mixed salad with a sweet and tangy sauce, often featuring fruits, vegetables, and tofu. This delicious dish is savory and mouthwatering.",10.70,0,https://picsum.photos/200/200?random=10
