inventoryitemid,inventoryitemname,inventoryitemqty,inventoryitemmin,inventoryitemmax,expirydate,inventoryitemunit,ingredientid
1,Buy Storage,82,50,139,2024-10-08,Designs,1
2,List Storage,78,13,42,2024-08-18,Spends,2
3,Mind Storage,20,33,87,2025-08-25,Streets,3
4,Whose Storage,44,28,105,2024-01-10,Enters,4
5,Test Storage,46,42,100,2025-01-02,Likes,5
6,Author Storage,38,6,33,2024-10-15,Determines,6
7,See Storage,67,33,95,2025-01-09,Meets,7
8,Too Storage,89,5,74,2025-04-27,Nones,8
9,Other Storage,75,36,133,2025-02-04,Lifes,9
10,Land Storage,19,10,58,2024-03-25,Takes,10
