inventoryitemid,inventoryitemname,inventoryitemqty,inventoryitemmin,inventoryitemmax,expirydate,inventoryitemunit,ingredientid
1,Official Storage,25,29,84,2025-08-09,Its,1
2,Form Storage,51,14,49,2025-01-23,Heavys,2
3,Early Storage,47,11,100,2025-08-30,Careers,3
4,Dog Storage,89,40,115,2024-04-22,Blues,4
5,Air Storage,73,36,79,2024-08-07,Runs,5
6,Force Storage,35,11,27,2025-01-17,Kitchens,6
7,Second Storage,55,20,120,2025-04-21,Managers,7
8,Around Storage,17,46,135,2024-10-02,Sites,8
9,Foreign Storage,52,48,65,2024-11-26,Intos,9
10,Bad Storage,59,24,47,2025-03-14,Cars,10
